study_id,archive,deposit_via,status,seed_doi,resolve_doi_for_datacite,related_to_doi,topic_folder,topic_review,note
38506,ICPSR,legacy,current,10.3886/ICPSR38506.v2,10.3886/ICPSR38506.v2,,voting,,
38528,ICPSR,legacy,current,10.3886/ICPSR38528.v6,10.3886/ICPSR38528.v6,,ses_demographics,,
38559,ICPSR,legacy,current,10.3886/ICPSR38559.v1,10.3886/ICPSR38559.v1,,broadband,,
38567,ICPSR,legacy,current,10.3886/ICPSR38567.v1,10.3886/ICPSR38567.v1,,broadband,,
38569,ICPSR,legacy,current,10.3886/ICPSR38569.v1,10.3886/ICPSR38569.v1,,schools,,
38579,ICPSR,legacy,current,10.3886/ICPSR38579.v2,10.3886/ICPSR38579.v2,,schools,,
38580,ICPSR,legacy,current,10.3886/ICPSR38580.v3,10.3886/ICPSR38580.v3,,street_connectivity,,
38584,ICPSR,legacy,current,10.3886/ICPSR38584.v2,10.3886/ICPSR38584.v2,,traffic,,
38585,ICPSR,legacy,current,10.3886/ICPSR38585.v2,10.3886/ICPSR38585.v2,,traffic,,
38586,ICPSR,legacy,current,10.3886/ICPSR38586.v2,10.3886/ICPSR38586.v2,,parks,,
38597,ICPSR,legacy,current,10.3886/ICPSR38597.v2,10.3886/ICPSR38597.v2,,pollution,,
38598,ICPSR,legacy,current,10.3886/ICPSR38598.v2,10.3886/ICPSR38598.v2,,land_cover,,
38605,ICPSR,legacy,current,10.3886/ICPSR38605.v2,10.3886/ICPSR38605.v2,,public_transit,,
38606,ICPSR,legacy,current,10.3886/ICPSR38606.v1,10.3886/ICPSR38606.v1,,urbanicity,,
38649,ICPSR,legacy,current,10.3886/ICPSR38649.v1,10.3886/ICPSR38649.v1,,crime,,
38858,ICPSR,legacy,current,10.3886/ICPSR38858.v1,10.3886/ICPSR38858.v1,,weather,,
38974,ICPSR,legacy,current,10.3886/ICPSR38974.v1,10.3886/ICPSR38974.v1,,essential_workers,,
39093,ICPSR,legacy,current,10.3886/ICPSR39093.v2,10.3886/ICPSR39093.v2,,HMDA,,
39378,ICPSR,legacy,current,10.3886/ICPSR39378.v1,10.3886/ICPSR39378.v1,,hospitals,,
120088,openICPSR,legacy,current,10.3886/E120088V21,10.3886/E120088,,crosswalks,,
127681,openICPSR,legacy,current,10.3886/E127681V14,10.3886/E127681,,education_training,,
127682,openICPSR,legacy,current,10.3886/E127682V14,10.3886/E127682,,education_training,,
141121,openICPSR,legacy,current,10.3886/E141121V36,10.3886/E141121,,,NO O: FILES - published to NaNDA as an external dataset (no local curation files),
190141,openICPSR,legacy,current,10.3886/E190141V11,10.3886/E190141,,,NO O: FILES - special release built on Dropbox from merged NaNDA data (one-off),
200038,openICPSR,RDE,current,10.3886/ICPSR200038.V5,10.3886/ICPSR200038.V5,,libraries,,
207966,openICPSR,legacy,current,10.3886/E207966V22,10.3886/E207966,,religious_civic_social_orgs,,
208207,openICPSR,legacy,current,10.3886/E208207V51,10.3886/E208207,,social_services,,
208366,openICPSR,legacy,current,10.3886/E208366V22,10.3886/E208366,,post_offices_banks,,
208682,openICPSR,legacy,current,10.3886/E208682V20,10.3886/E208682,,retail_establishments,,
208684,openICPSR,legacy,current,10.3886/E208684V22,10.3886/E208684,,law_enforcement,,
208751,openICPSR,legacy,current,10.3886/E208751V20,10.3886/E208751,,eating_drinking,,
208906,openICPSR,legacy,current,10.3886/E208906V23,10.3886/E208906,,personal_care_laundromats,,
208907,openICPSR,legacy,current,10.3886/E208907V20,10.3886/E208907,,liquor_tobacco_convenience,,
209050,openICPSR,legacy,current,10.3886/E209050V21,10.3886/E209050,,health_care_nets,,
209163,openICPSR,legacy,current,10.3886/E209163V30,10.3886/E209163,,arts_entertainment_recreation,,
209164,openICPSR,legacy,current,10.3886/E209164V30,10.3886/E209164,,recreation,,
209313,openICPSR,legacy,current,10.3886/E209313V20,10.3886/E209313,,grocery_stores,,
209324,openICPSR,legacy,current,10.3886/E209324V21,10.3886/E209324,,dollar_stores,,
210581,openICPSR,legacy,current,10.3886/E210581V19,10.3886/E210581,,ADI_standardized,,
220701,openICPSR,legacy,alternate-deposit,10.3886/E220701V14,10.3886/E220701,10.3886/ICPSR38598.v2,land_cover,,"alternate openICPSR deposit of ICPSR38598 (Land Cover, 1985-2023)"
222263,openICPSR,legacy,current,10.3886/E222263V12,10.3886/E222263,,opthamologists,,
222901,openICPSR,legacy,alternate-deposit,10.3886/E222901V13,10.3886/E222901,10.3886/ICPSR39378.v1,hospitals,,"alternate openICPSR deposit of ICPSR39378 (Hospitals, 2023)"
230941,openICPSR,legacy,current,10.3886/E230941V25,10.3886/E230941,,PRISM,,
237305,openICPSR,legacy,current,10.3886/E237305V11,10.3886/E237305,,air_conditioning,,
301419,openICPSR,RDE,current,10.3886/E301419V11,10.3886/ICPSR301419.v1,10.3886/ICPSR301419.v1,essential_businesses,,seed E-form DOI 404s at DataCite; published twin is ICPSR-form
302178,openICPSR,RDE,current,10.3886/E302178V10,10.3886/ICPSR302178.v1,10.3886/ICPSR302178.v1,essential_workers,,seed E-form DOI 404s at DataCite; published twin is ICPSR-form
302343,openICPSR,RDE,current,10.3886/ICPSR302343.v1,10.3886/ICPSR302343.v1,,training_vocation,,
302937,openICPSR,RDE,current,10.3886/ICPSR302937.v1,10.3886/ICPSR302937.v1,,broadband,,
305511,ICPSR,legacy,current,10.3886/ICPSR305511.v1,10.3886/ICPSR305511.v1,,parks,,
110663,openICPSR,legacy,superseded,10.3886/E110663V10,10.3886/E110663,10.3886/ICPSR38598.v2,land_cover,,superseded by ICPSR38598 (Land Cover); older 2001-2016 vintage
